mask,stem,CO6,area,convex_area,perimeter,axis_major_length,axis_minor_length,extent,eccentricity,solidity,feret_diameter_max,hu_moment_0,hu_moment_1,hu_moment_2,hu_moment_3,hu_moment_4,hu_moment_5,hu_moment_6,bbox_width,bbox_height,bbox_aspect_ratio
-A002--PO01--LO001--CO1--SL002--PX32500--PW0063--IN0020--TM228--X024269--Y012372--Z206500--T0000047904--WE00002.png,-A002--PO01--LO001--CO1--SL002--PX32500--PW0063--IN0020--TM228--X024269--Y012372--Z206500--T0000047904--WE00002,-A002--PO01--LO001--CO1--SL002--PX32500--PW0063--IN0020--TM228--X024269--Y012372--Z206500--T0000047904--WE00002,4383.0,7627.0,437.88939366884495,152.77489671732732,64.19470895016467,0.44610687022900763,0.9074354664008112,0.5746689392946113,133.15029102484155,0.3915858105776062,0.07510832655355545,0.008352093207901123,0.006046990427925641,4.2940208823199786e-05,0.0007724441330743619,1.7058772736805284e-06,131.0,75.0,1.7466666666666666
-A002--PO01--LO001--CO1--SL002--PX32500--PW0063--IN0020--TM246--X023379--Y012366--Z205500--T0000047530--WE00002.png,-A002--PO01--LO001--CO1--SL002--PX32500--PW0063--IN0020--TM246--X023379--Y012366--Z205500--T0000047530--WE00002,-A002--PO01--LO001--CO1--SL002--PX32500--PW0063--IN0020--TM246--X023379--Y012366--Z205500--T0000047530--WE00002,5724.0,11463.0,534.9015869776647,208.0894113767001,83.60163792263909,0.26669151563155197,0.9157457659864446,0.499345721015441,191.23022773609824,0.5491181537217154,0.1572028403984509,0.10238251548427367,0.03572050011344905,0.0017961086826605442,0.005726886749175248,0.001200147983121352,169.0,127.0,1.330708661417323
-A002--PO01--LO001--CO1--SL002--PX32500--PW0063--IN0020--TM249--X023100--Y011573--Z203500--T0000047558--WE00002.png,-A002--PO01--LO001--CO1--SL002--PX32500--PW0063--IN0020--TM249--X023100--Y011573--Z203500--T0000047558--WE00002,-A002--PO01--LO001--CO1--SL002--PX32500--PW0063--IN0020--TM249--X023100--Y011573--Z203500--T0000047558--WE00002,4497.0,6170.0,359.64675298172574,133.39038479799942,59.39722470594792,0.5241258741258741,0.8953870760381261,0.7288492706645057,132.74034804836094,0.29632289664397415,0.039305710141979706,0.011345753887523648,0.004621217536844516,3.060789167373898e-05,0.0005854793942344068,1.3522549160403799e-05,132.0,65.0,2.0307692307692307
-A002--PO01--LO001--CO1--SL002--PX32500--PW0063--IN0020--TM249--X023493--Y011413--Z203500--T0000047867--WE00002.png,-A002--PO01--LO001--CO1--SL002--PX32500--PW0063--IN0020--TM249--X023493--Y011413--Z203500--T0000047867--WE00002,-A002--PO01--LO001--CO1--SL002--PX32500--PW0063--IN0020--TM249--X023493--Y011413--Z203500--T0000047867--WE00002,2196.0,4319.0,355.3563850798539,153.41939982654452,37.83760710394789,0.19875101819169155,0.9691100808137045,0.5084510303310952,152.26621424334422,0.7106442609998251,0.3958301999416372,0.12191952784434679,0.036352450351975436,0.0018715232012063595,0.007002624532183269,0.0015344018420521135,127.0,87.0,1.4597701149425288
-A003--PO01--LO001--CO1--SL002--PX32500--PW0063--IN0020--TM249--X032639--Y011781--Z204500--T0000094910--WE00003.png,-A003--PO01--LO001--CO1--SL002--PX32500--PW0063--IN0020--TM249--X032639--Y011781--Z204500--T0000094910--WE00003,-A003--PO01--LO001--CO1--SL002--PX32500--PW0063--IN0020--TM249--X032639--Y011781--Z204500--T0000094910--WE00003,4560.0,7113.0,503.28636328851496,111.81502830372195,98.06697122425717,0.4561824729891957,0.48040562266599274,0.641079713201181,103.0970416646375,0.30317614308746466,0.0015640959395686314,0.0001884440263799268,0.0010735770755295028,-4.1357742567632437e-07,2.102170818667389e-05,-2.4925640318590724e-07,102.0,98.0,1.0408163265306123
-A003--PO01--LO001--CO1--SL002--PX32500--PW0063--IN0020--TM249--X032677--Y011634--Z203500--T0000094906--WE00003.png,-A003--PO01--LO001--CO1--SL002--PX32500--PW0063--IN0020--TM249--X032677--Y011634--Z203500--T0000094906--WE00003,-A003--PO01--LO001--CO1--SL002--PX32500--PW0063--IN0020--TM249--X032677--Y011634--Z203500--T0000094906--WE00003,3241.0,7629.0,500.0254326381661,218.5160137513501,46.7046474280951,0.289375,0.9768915502163807,0.42482632061869186,200.24984394500785,0.9628697230245853,0.7721834024421543,0.20255054634773872,0.05098803515868849,0.0032605841536556,0.009716136990674161,0.004027184808530106,200.0,56.0,3.5714285714285716
-A003--PO01--LO001--CO1--SL002--PX32500--PW0063--IN0020--TM250--X032392--Y010858--Z204500--T0000094523--WE00003.png,-A003--PO01--LO001--CO1--SL002--PX32500--PW0063--IN0020--TM250--X032392--Y010858--Z204500--T0000094523--WE00003,-A003--PO01--LO001--CO1--SL002--PX32500--PW0063--IN0020--TM250--X032392--Y010858--Z204500--T0000094523--WE00003,4768.0,7265.0,498.47518010647184,210.03362421942077,44.208749064865756,0.4249554367201426,0.9775972699423203,0.6562973158981418,204.79257799051214,0.6038765834289159,0.3054096582529945,0.12628840119148407,0.10006567534906405,0.011242622206438945,0.05446813243370754,-0.0003752753783073827,204.0,55.0,3.709090909090909
-A003--PO01--LO001--CO1--SL002--PX32500--PW0063--IN0020--TM254--X032353--Y011018--Z202500--T0000094915--WE00003.png,-A003--PO01--LO001--CO1--SL002--PX32500--PW0063--IN0020--TM254--X032353--Y011018--Z202500--T0000094915--WE00003,-A003--PO01--LO001--CO1--SL002--PX32500--PW0063--IN0020--TM254--X032353--Y011018--Z202500--T0000094915--WE00003,2286.0,5413.0,446.9787514439401,203.13116945847332,37.73446373703921,0.12232448630136987,0.9825943857162899,0.4223166451136154,182.80043763623763,1.1670538538683548,1.1863449101672,1.0549020277948444,0.9420873685828588,0.938723000710265,0.9960877304012229,-0.02887603448978643,146.0,128.0,1.140625
-A004--PO01--LO001--CO1--SL002--PX32500--PW0063--IN0020--TM246--X041764--Y011589--Z203500--T0000142337--WE00004.png,-A004--PO01--LO001--CO1--SL002--PX32500--PW0063--IN0020--TM246--X041764--Y011589--Z203500--T0000142337--WE00004,-A004--PO01--LO001--CO1--SL002--PX32500--PW0063--IN0020--TM246--X041764--Y011589--Z203500--T0000142337--WE00004,5027.0,7853.0,451.8305191657993,176.36358756388077,50.52815575722809,0.3161038797711124,0.9580802624242813,0.6401375270597224,179.62739212046696,0.41845545979994714,0.12600434925046686,0.01687757251058261,0.012257271228898777,0.0001746812502648467,0.003534498756780271,2.381600947167605e-05,171.0,93.0,1.8387096774193548
-A004--PO01--LO001--CO1--SL002--PX32500--PW0063--IN0020--TM250--X042037--Y011387--Z204500--T0000142495--WE00004.png,-A004--PO01--LO001--CO1--SL002--PX32500--PW0063--IN0020--TM250--X042037--Y011387--Z204500--T0000142495--WE00004,-A004--PO01--LO001--CO1--SL002--PX32500--PW0063--IN0020--TM250--X042037--Y011387--Z204500--T0000142495--WE00004,3583.0,7340.0,461.3452377915607,130.18309866043106,89.82261410644715,0.37206645898234686,0.7238366355386513,0.4881471389645777,109.78615577567146,0.4363616589057223,0.023990929672192733,0.012859871861254256,0.006755837392830199,4.0556033478818157e-05,-0.00035929235670549055,4.817147810288924e-05,107.0,90.0,1.1888888888888889
